Author,Review,Profession,Date,NumberOfStars
Павел Брун,"У меня 2 машины бмв и ауди. Так вот если в салоне ауди тебя облизывают, то здесь обслуживают как будто ты еще и должен. И цены значительно выше на одинаковые услуги.",Знаток города 6 уровня,22 января,1
К,"Современный новый салон, 2 этажа с мини куперами, большой выбор автомобилей, очень позитивные менеджеры, которые даже без записи сразу провели тест-драйв.",Знаток города 4 уровня,7 апреля 2019,5
Юрий Н.,"Про сам салон ничего не скажу. А вот в кафе просидел минут 45 ждал пока приготовят, а в итоге ещё и пересолено оказалось",Знаток города 5 уровня,15 марта,2
Дарья,"Душевные менеджеры, классный сервис, красивый шоурум и лестница с граффити. А ещё очень вкусное кафе, как ресторан.",Знаток города 12 уровня,27 марта 2019,5
Михаил Тульев,"Приятный салон. Хороший персонал, во всяком случае компетентный.",Знаток города 11 уровня,1 марта,5
Стас Г.,Милый персонал. Всё расскажут и покажут.,Знаток города 5 уровня,8 января,5
Максим Сорокин,"Крупнейший салон BMW и MINI, всё супер",Знаток города 10 уровня,20 марта 2019,5
Иванов,"Менеджер работает расслабленном режиме и видимо с перерывом на сиесту, бродили минут 30",Знаток города 16 уровня,12 сентября 2019,2
Evgenii,Не стоит,Знаток города 4 уровня,1 марта,1
Дмитрий Ш.,"Моё любимое место... Покупал там свой BMW X3. Именно в этом салоне началась моя огромная любовь к BMW. Проблем ни с обслуживанием, ни с ремонтом никогда не было. Персонал всегда приветлив, мастера грамотные. Все ТО проходил без проблем.Особо отмечу: приехал на плановое ТО как-то, и в машине не было незамерзайки. Был очень удивлен уезжая, что значок об этом погашен, т.е. они залили незамерзайку. Такая копеечная мелочь, но так приятно.Еще: приехал опять же как-то на плановое ТО. После осмотра сказали что чуть потрескалась кожа на водительском сиденье. Я этого даже не видел. Заказали новую кожу, поменяли. Сами, я не просил.",Знаток города 7 уровня,12 марта,5
Алексей Е.,"Не качественный сервис. С момента покупки авто в апреле 2019 года, не могут устранить стук в передней подвеске. Сначала не слышали, потом когда привез заключение из другого сервиса, вдруг все услышали, заказали и поменяли рычаг, Ничего не изменилось. сейчас в рекомендациях написали, что требуется замена, но когда это произойдет не знают. Вообще у мастеров приемки нет желания помочь в решении проблемы. в сервис, чтобы записаться по телефону, надо звонить не один раз, т.к. не берут трубку. Администратор говорит, что мастер занят, записывает тед для связи и не перезванивает никто. уровень сервиса явно не предназначен для обслуживания премиальных авто.",Знаток города 2 уровня,6 ноября 2019,1
Ольга Б.,"Возможно мой отзыв поможет руководству салона сделать его чуточку лучше. Мы стали посетителями салона 06.10.2019. Бмв красавцы, дарят чувство динамичности, современности, качества! Но стоит улучшить обслуживание: с нами никто не поздоровался и не предложили менеджера. Рядом так же одиноко и безинформационно ходила еще одна пара, мы обратили внимание на их самостоятельное изучение рекламок и автомобилей.",Знаток города 4 уровня,6 октября 2019,3
Егор Е.,"Отличный автосалон, грамотные сотрудники, удобная парковка приветливый персонал. Но для гостей нужно что-то делать,сидеть на деревянных стульях два часа и без телевизора это кошмар какой то...Есть к чему стремиться.",Знаток города 12 уровня,30 ноября 2019,4
Михаил В.,"Любимая марка авто это конечно БМВ. Обслуживаюсь в этом салоне почти 5 лет. К ремзоне нареканий нет- все делают отлично! Хорошо бы, чтобы цены были адекватные на запчасти и допоборудование и поставил бы 5! Кафе на 2 этаже с хорошим ассортиментом, можно и поесть и просто кофе со сладким попить.",Знаток города 13 уровня,15 сентября 2019,4
Артем Еремин,"Вопиющая некомпетентность сервиса. Сегодня отправили ездить на автомобиле, в котором немного подтекает масло в коробке. Припарковавшись обнаружил пятно под автомобилем на подземке. Не смотря на все заявления гарантийный автомобиль предоставить отказались. Сроков поставки запчастей не назвали. Мой автомобиль на гарантии при этом.",Знаток города 11 уровня,10 ноября 2019,1
Зоя В.,"Хм, а у меня сложилось немного двоякое ощущение от АБ НН) Раза три с женой приезжали в этот салон ""выбрать глазами"" машину, но все три раза были в молоко, первый раз была спец. презентация, в другой раз были тачки на мероприятии, а в третий раз - было какое то плановое общее ТО(или тех осмотр, может еще что то, укатили вроед как все тачки куда то).И вот 9 сентября решил заехать наобум после работы, сделать выбор в пользу 5-ки либо Х3. Вот тут меня ждал приятный подарок, менеджер был просто ""подарок"", срочно выписывайте ему премию!!! Мало того что никуда не спешил, так еще и сам предложил прокатиться на трёшке, так сказать для полных ощущений, чтобы понять максимум_)Но всё это меня немного спутало, тачку определённо так и не выбрал, у всех трёх моделей есть абсолютно свои конкретные плюсы, хочется и то и то, но в рамках одного авто этого не получается. Икс - массиввный, нравится жене, ""брутальный"", мягкий. 3-ка полная новинка, очень сложная геометрически и технически(взять хотя бы блок-фару), супер молодёжная и универсальная. 5-ка(на неё делал акцент) больше всего запала в дужу, мощная, тяжелая, настоящая, уютная.Но выбор так и не сделан, как нибудь приедем еще, надеюсь успешно!)",Знаток города 4 уровня,9 сентября 2019,5
Андрей Немо,"Хуже этого автосалона я ещё не встречал!!!! Клиентов обманывают в наглую, если бы не фото сделанные просто так...... Оставил бы большую сумму. Да и ещё для них подделать документы ВООБЩЕ не проблема!!!! Про клиентоориенированность там даже не слышали! И это дилер BMW?????..... Им бы сходить и поучиться у соседей (Джейкар)!",Знаток города 6 уровня,30 сентября 2019,1
Андрей Г.,Достойный сервис для Вашего BMW. Пользуюсь услугами дилера с 2013.Если внимательно отслеживать выполнение работ и следить за акциями дилера - то впечатления положительные.Четверка - чтобы дилер не забывал постоянно улучшать свой сервис.,Знаток города 2 уровня,5 декабря 2019,4
Иван З.,"Очень мало менеджеров. Приезжал в прошлом году несколько раз, чтобы проконсультироваться и провести тест-драйв. На третий раз после часа ожидания я все-таки дождался менеджера. В остальном все хорошо. Специалисты внимательные к пожеланиям клиентов.",Знаток города 9 уровня,9 октября 2019,3
Ольга Л.,"Сейчас ездим по салонам и подбираем автомобиль. Такого абсолютно наплевательского отношения к клиенту не встречала ни в одном салоне. Mercedes, Lexus, Volvo все заинтересованы в клиентах. Здесь - даже никто не поздоровался. Если при продаже ты никому не нужен, то что же будет на гарантийном обслуживании?",Знаток города 5 уровня,19 ноября 2019,1
Алексей,"Крайне странный уровень сервиса при продаже не самых бюджетных автомобилей. Все можно понять, что клиентов много, а менеджеров не хватает - но по нескооько дней стоять в очереди на тест драйв,ожидать звонка и в итоге звонить самому - наверное это уже слишком. Принять решение и купить машину здесь - думаю, что весьма сомнительное мероприятие, сложно представить, что будет происходить, если будут какие-то проблемы с автомобилем.Единственный плюс салона - сами автомобили, но сам процесс обслуживания клиентов «мягко говоря» не особо настроен на продажу.",Знаток города 2 уровня,11 августа 2019,1
Михаил Мягков,"Ребята, что с вами случилось? Такое ощущение что либо руководство сменилось, либо директор в отпуске. Кофе клиентам больше не дают, такси тоже. Пофигизм и хамство выросло в несколько раз. Дозвониться невозможно. Это не есть путь к успеху.",Знаток города 6 уровня,28 ноября 2019,1
Aleksandr B.,"Обслуживаем здесь машину. Очень хороший сервис. Вежливый и отзывчивый персонал, удобное расположение. Для клиентов предоставляют бесплатное такси.",Знаток города 15 уровня,21 сентября 2019,5
