,Outlet Name,Town,Street,ZIP code,URL,BUNO,Division
0,Evrosib Service Center             ,Saint Petersburg                   ,Obvodny channel embankment 72/1    ,192007,https://yandex.ru/maps/org/mini_yevrosib/128517960945/,20846 10224,MR BMWI BMW C1 MINI
1,Avtomobili Bavarii                 ,Nizhny Novgorod                    ,Brinskogo 12                       ,603163,https://yandex.ru/maps/org/avtomobili_bavarii/1062699153/,10665,BMW
2,Bakra                              ,Respublika Adygeya                 ,Turgenevskoe shosse 23             ,385140,https://yandex.ru/maps/org/bakra/1035499539/,20337,BMW
3,Avtomobili Bavarii                 ,Perm                               ,sh. Kosmonavtov 380                ,614065,https://yandex.ru/maps/org/avtomobili_bavarii/1019917917/,20449,BMW
4,Axsel-Motors                       ,Saint Petersburg                   ,Schkiperskij protok 21             ,199106,https://yandex.ru/maps/org/aksel_motors_ofitsialny_diler_bmw/1122106411/,21415,BMW
5,Azimut-SP                          ,Moscow                             ,Varshavskoje shosse 138            ,117519,https://yandex.ru/maps/org/baltavtotreyd/1052789604/,24716,BMW
6,BaltAvtoTrade-M                    ,Moscow                             ,"Rubljovskoje Chaussee 64, build 2  ",121609,https://yandex.ru/maps/org/baltavtotreyd_m/1036653781/,26551,BMWI BMW
7,BaltAvtoTrade-M                    ,Moscow                             ,Varshavskoe shosse 138             ,117105,https://yandex.ru/maps/org/baltavtotreyd_m/1036653781/,48327,BMW
8,Angara                             ,Irkutsk                            ,"Yaroslavskogo, 302                 ",664048,https://yandex.ru/maps/org/angara/1111751993/,26828,BMW
9,Borishof                           ,Moscow                             ,Jaroslavskoje Chaussee 36          ,129337,https://yandex.ru/maps/org/bmw_boriskhof_sever/1049259640/,26959,BMW MINI
10,BorisHof                           ,Moscow                             ,"Shosse Entusiastov, 2 km from MKAD ",143961,https://yandex.ru/maps/org/bmw_boriskhof_yug/1088261741/,32481,BMW MINI
11,Borishof                           ,Moscow                             ,29 km. MKAD                        ,142718,https://yandex.ru/maps/org/bmw_boriskhof_yug/1088261741/,35227,BMWI BMW MINI
12,Borishof                           ,Moscow                             ,"Kotelnicheskaya naberezhnaya, 31   ",115172,https://yandex.ru/maps/org/mini_boriskhof/40687667494/,38817,MINI
13,ElitAuto                           ,Krasnoyarsk                        ,Alekseeva 52                       ,660118,https://yandex.ru/maps/org/elitavto/1102868808/,27741 31639,MR BMW
14,ElitAuto                           ,Abakan                             ,"kvartal Molodezhniy, 2B, bld.1     ",655017,https://yandex.ru/maps/org/elitavto_bmw/177843739572/,41625,BMW
15,Eurosib Lahta                      ,Saint Petersburg                   ,"Savushkina 112, build 2            ",197374,https://yandex.ru/maps/org/yevrosib_lakhta/1051652743/,27766,BMW MINI
16,Avtoport                           ,Moscow                             ,"Pyantitskoye shosse, 6 km          ",143442,https://yandex.ru/maps/org/avtoport/1078587282/,28824,BMW MINI
17,Aldis                              ,Togliatty                          ,Sportivnaya 11                     ,445057,https://yandex.ru/maps/org/aldis_bmw/137566460375/,29221,BMW
18,Aldis                              ,Samara                             ,Demokraticheskaja 65               ,443031,https://yandex.ru/maps/org/avtosalon_bmw_aldis_special/19330058927/,30513,BMW
19,TolSar                             ,Saratov                            ,Shehurdina 20 A                    ,410010,https://yandex.ru/maps/org/tolsar/1114635443/,29630,BMW
20,Armada                             ,Rostov-on-Don                      ,Prospect Sholokhova 253            ,344009,https://yandex.ru/maps/org/armada/1723046176/,31641 29691,MR BMW MINI
21,Premium-Dina                       ,Tjumen                             ,"Fedjuninskogo, 51                  ",625062,https://yandex.ru/maps/org/premium_dina/1090148645/,30515,BMW
22,Bars                               ,Omsk                               ,Volgogradskaya 61                  ,644106,https://yandex.ru/maps/org/bmw_bars/117670682678/,31574,BMW
23,AvtoHaus                           ,Ekaterinburg                       ,Sibirsky trakt 26                  ,620100,https://yandex.ru/maps/org/ofitsialny_diler_bmw_avtokhaus/1014406080/,31723,BMW
24,Axsel-Motors Sever                 ,Saint Petersburg                   ,"Kushelevskaya doroga, 14           ",195220,https://yandex.ru/maps/org/aksel_motors_sever/1046044844/,31928,BMW MINI
25,Modus                              ,Lipetsk                            ,Moskovskaya 34                     ,399265,https://yandex.ru/maps/org/bmw_modus/1021304686/,31951,BMW
26,Avtodom                            ,Moscow                             ,Zorge 17                           ,125252,https://yandex.ru/maps/org/avtodom_bmw/1037910515/,32330 32404,MR BMWI BMW MINI
27,Avtodom                            ,Saint Petersburg                   ,Startovaja 10                      ,196210,https://yandex.ru/maps/org/avtodom_bmv/1123101848/,33173 39311,MR BMW MINI
