Outlet Name,Town,Street,ZIP code,URL
Evrosib Service Center             ,Saint Petersburg                   ,Obvodny channel embankment 72/1    ,192007   ,https://yandex.ru/maps/org/mini_yevrosib/128517960945/
Avtomobili Bavarii                 ,Nizhny Novgorod                    ,Brinskogo 12                       ,603163   ,https://yandex.ru/maps/org/avtomobili_bavarii/1062699153/
Bakra                              ,Respublika Adygeya                 ,Turgenevskoe shosse 23             ,385140   ,https://yandex.ru/maps/org/bakra/1035499539/
Avtomobili Bavarii                 ,Perm                               ,sh. Kosmonavtov 380                ,614065   ,https://yandex.ru/maps/org/avtomobili_bavarii/1019917917/
Axsel-Motors                       ,Saint Petersburg                   ,Schkiperskij protok 21             ,199106   ,https://yandex.ru/maps/org/aksel_motors_ofitsialny_diler_bmw/1122106411/
Azimut-SP                          ,Moscow                             ,Varshavskoje shosse 138            ,117519   ,https://yandex.ru/maps/org/baltavtotreyd/1052789604/
BaltAvtoTrade-M                    ,Moscow                             ,"Rubljovskoje Chaussee 64, build 2  ",121609   ,https://yandex.ru/maps/org/baltavtotreyd_m/1036653781/
BaltAvtoTrade-M                    ,Moscow                             ,Varshavskoe shosse 138             ,117105   ,https://yandex.ru/maps/org/baltavtotreyd_m/1036653781/
Angara                             ,Irkutsk                            ,"Yaroslavskogo, 302                 ",664048   ,https://yandex.ru/maps/org/angara/1111751993/
Borishof                           ,Moscow                             ,Jaroslavskoje Chaussee 36          ,129337   ,https://yandex.ru/maps/org/bmw_boriskhof_sever/1049259640/
BorisHof                           ,Moscow                             ,"Shosse Entusiastov, 2 km from MKAD ",143961   ,https://yandex.ru/maps/org/bmw_boriskhof_yug/1088261741/
Borishof                           ,Moscow                             ,29 km. MKAD                        ,142718   ,https://yandex.ru/maps/org/bmw_boriskhof_yug/1088261741/
Borishof                           ,Moscow                             ,"Kotelnicheskaya naberezhnaya, 31   ",115172   ,https://yandex.ru/maps/org/mini_boriskhof/40687667494/
ElitAuto                           ,Krasnoyarsk                        ,Alekseeva 52                       ,660118   ,https://yandex.ru/maps/org/elitavto/1102868808/
ElitAuto                           ,Abakan                             ,"kvartal Molodezhniy, 2B, bld.1     ",655017   ,https://yandex.ru/maps/org/elitavto_bmw/177843739572/
Eurosib Lahta                      ,Saint Petersburg                   ,"Savushkina 112, build 2            ",197374   ,https://yandex.ru/maps/org/yevrosib_lakhta/1051652743/
Avtoport                           ,Moscow                             ,"Pyantitskoye shosse, 6 km          ",143442   ,https://yandex.ru/maps/org/avtoport/1078587282/
Aldis                              ,Togliatty                          ,Sportivnaya 11                     ,445057   ,https://yandex.ru/maps/org/aldis_bmw/137566460375/
Aldis                              ,Samara                             ,Demokraticheskaja 65               ,443031   ,https://yandex.ru/maps/org/avtosalon_bmw_aldis_special/19330058927/
TolSar                             ,Saratov                            ,Shehurdina 20 A                    ,410010   ,https://yandex.ru/maps/org/tolsar/1114635443/
Armada                             ,Rostov-on-Don                      ,Prospect Sholokhova 253            ,344009   ,https://yandex.ru/maps/org/armada/1723046176/
Premium-Dina                       ,Tjumen                             ,"Fedjuninskogo, 51                  ",625062   ,https://yandex.ru/maps/org/premium_dina/1090148645/
Bars                               ,Omsk                               ,Volgogradskaya 61                  ,644106   ,https://yandex.ru/maps/org/bmw_bars/117670682678/
AvtoHaus                           ,Ekaterinburg                       ,Sibirsky trakt 26                  ,620100   ,https://yandex.ru/maps/org/ofitsialny_diler_bmw_avtokhaus/1014406080/
Axsel-Motors Sever                 ,Saint Petersburg                   ,"Kushelevskaya doroga, 14           ",195220   ,https://yandex.ru/maps/org/aksel_motors_sever/1046044844/
Modus                              ,Lipetsk                            ,Moskovskaya 34                     ,399265   ,https://yandex.ru/maps/org/bmw_modus/1021304686/
Avtodom                            ,Moscow                             ,Zorge 17                           ,125252   ,https://yandex.ru/maps/org/avtodom_bmw/1037910515/
Avtodom                            ,Saint Petersburg                   ,Startovaja 10                      ,196210   ,https://yandex.ru/maps/org/avtodom_bmv/1123101848/
Avtodom                            ,Moscow                             ,Shmitovsky proezd 24A              ,123100   ,https://yandex.ru/maps/org/avtodom_bmw_boutique/111479261173/
Avto-Avangard                      ,Moscow                             ,Novorizhskoe shosse                ,143420   ,https://yandex.ru/maps/org/bmw_avto_avangard/30151116239/
Bavaria Avto                       ,Tula                               ,Novomoskovskoe Shosse 15           ,300045   ,https://yandex.ru/maps/org/bavariya_avto/1072490461/
Izar-Avto                          ,Penza                              ,"Prospekt pobedy, 121               ",440066   ,https://yandex.ru/maps/org/izar_avto/1093483153/
Diksi                              ,Barnaul                            ,Mamontova 27                       ,656049   ,https://yandex.ru/maps/org/diksi/1606802543/
Modus                              ,Novorossiysk                       ,Zheleznodorozhnaya petlya 8        ,353909   ,https://yandex.ru/maps/org/bmw_modus_novorossiysk/1248940182/
Modus                              ,Voronezh                           ,3 km. auto road Voronezh-Moscow    ,394000   ,https://yandex.ru/maps/org/bmw_modus_voronezh/93179678377/
Avtopremium                        ,Kursk                              ,Engelsa street 173 D               ,305047   ,https://yandex.ru/maps/org/avtopremium/1067697504/
Avilon                             ,Moscow                             ,Volgogradsky avenue 41 bld.1       ,109316   ,https://yandex.ru/maps/org/avilon_ofitsialny_diler_bmw/49310954585/
Avilon                             ,Moscow                             ,"Kommerchsky proezd, 10             ",140053   ,https://yandex.ru/maps/org/bmw_avilon_belaya_dacha/216657971138/
Advance-Avto                       ,Moscow                             ,Kievskoye shosse 23 km. vld.15     ,142784   ,https://yandex.ru/maps/org/asts_bmw_advans_avto_ofitsialny_diler/1170763532/
Severnaya Bavaria                  ,Petrozavodsk                       ,"Lesnoy avenue, 55 bld.1            ",185007   ,https://yandex.ru/maps/org/severnaya_bavariya_avtotekhtsentr/1746037553/
Grand Auto                         ,Tver                               ,"Borovlevo, 1                       ",170546   ,https://yandex.ru/maps/org/bmw_grand_avto/1115518811/
BikeHouse                          ,Ekaterinburg                       ,Mashinnaya 14                      ,620142   ,https://yandex.ru/maps/org/bmw_motorrad_baykkhaus/42425235766/
Premier Avto                       ,Vladivostok                        ,"ul. Makovskogo, 93                 ",690024   ,https://yandex.ru/maps/org/premyer_avto/1711820172/
Modus                              ,Sochi                              ,"Transportnaya, 46                  ",354340   ,https://yandex.ru/maps/org/bmw_atlas_sochi/195684998457/
ITS-Avto                           ,Izhevsk                            ,"ul. K.Marksa, 55a                  ",426003   ,https://yandex.ru/maps/org/bmw/1686902853/
Avtodel                            ,Simferopol                         ,"Pobedy prospekt, 110               ",295000   ,https://yandex.ru/maps/org/avtodel/1000893975/
KlyuchAvto                         ,Stavropol                          ,Kulakova 26A                       ,355035   ,https://yandex.ru/maps/org/bmw_klyuchavto/123741153599/
KlyuchAvto                         ,Mineralnye Vody                    ,"Avtomobilnaya str., 9              ",357204   ,https://yandex.ru/maps/org/bmw_klyuchavto/125407819505/
ElitAvto Sibir                     ,Novosibirsk                        ,"Bolshevistskaya str., 177/1        ",630028   ,https://yandex.ru/maps/org/elitavto_sibir/1104549992/
Axsel Motors                       ,Arkhangelsk                        ,"Okruzhnoye shosse, 5               ",163000   ,https://yandex.ru/maps/org/aksel_motors/1120737287/
Sibcar                             ,Surgut                             ,"Bystrinskaya str., 3               ",628400   ,https://yandex.ru/maps/org/bmw/29677150226/
Rus Motors                         ,Kaliningrad                        ,"Moskovskiy pr., 203a               ",236006   ,https://yandex.ru/maps/org/rus_motors_bmw/1041809567/
Kraft                              ,Ekaterinburg                       ,"Metallurgov, 82                    ",620131   ,https://yandex.ru/maps/org/ofitsialny_diler_bmw_kraft/78687880011/
Rolf Premium                       ,Moscow                             ,"85 km MKAD, bld.2, 1               ",141000   ,https://yandex.ru/maps/org/bmw_rolf_premium/1706136465/
Rolf Premium                       ,Moscow                             ,"B. Yakimanka, 26                   ",119180   ,https://yandex.ru/maps/org/bmw_m_butik_rolf/6780981578/
Rolf Premium                       ,Khimki                             ,Leningradskoe shosse 21            ,141410   ,https://yandex.ru/maps/org/bmw_rolf_premium_khimki/61877138942/
Rolls-Royce Motor Cars Moscow      ,Moscow                             ,"2/1 Bld 1, Kutuzovskiy Prospekt    ",121248   ,https://yandex.ru/maps/org/rolls_royce_motor_cars_moscow/1739758472/
Rolls-Royce Motor Cars Moscow      ,Moscow                             ,"Second Magistralnaya Street, 18    ",123290   ,https://yandex.ru/maps/org/rolls_royce_motor_cars_moscow/142170702862/
LLC BorisHof 1                     ,St. Petersburg                     ,"Malaya Morskaya ul., 22            ",190000   ,https://yandex.ru/maps/org/rolls_royce_motor_cars/1173003815/
RRMC St. Petersburg                ,St. Petersburg                     ,"UI. Savushkina, 112/2              ",197374   ,https://yandex.ru/maps/org/yevrosib_lakhta/1051652743/
Nikamotors                         ,Novorossiysk                       ,Zolotaya Rybka 22                  ,353900   ,https://yandex.ru/maps/org/nikamotors/27424268725/
Prime Auto                         ,Magnitogorsk                       ,Magnitnaya 160                     ,455000   ,https://yandex.ru/maps/org/praym_avto_bmw/231808086922/
AvroraAvto                         ,Belgorod                           ,Studencheskaya str 1-T             ,308023   ,https://yandex.ru/maps/org/avroraavto_bmw/1897257361/
ElitAvto                           ,Kemerovo                           ,Kuznetsky Prospekt 115             ,650055   ,https://yandex.ru/maps/org/elitavto/196942937178/
OOO Motorrad Ural                  ,Ekaterinburg                       ,Mashinnaya 14                      ,620142   ,https://yandex.ru/maps/org/bmw_motorrad_baykkhaus/42425235766/
Premier Auto                       ,Smolensk                           ,Kutuzova str 50                    ,214011   ,https://yandex.ru/maps/org/premyer_avto_ofitsialny_diler_bmw/129992766139/
Armada                             ,Rostov on Don                      ,Dovatora                           ,344090   ,https://yandex.ru/maps/org/armada_zapad/233678270644/
TransTechService                   ,Kazan                              ,"Agronomicheskaya str., 7           ",420049   ,https://yandex.ru/maps/org/bmw_transtekhservis_ofitsialny_diler/1303033416/
TransTechService Centre            ,Orenburg                           ,12 km right side road Orenburg-Orsk,460507   ,https://yandex.ru/maps/org/bmw_transtekhservis_ofitsialny_diler/178390885473/
TransTechService                   ,Kazan                              ,Ibragimova 48                      ,420066   ,https://yandex.ru/maps/org/bmw_transtekhservis_ofitsialny_diler_/165840250548/
ATLAS                              ,Krasnodar                          ,Dzerzhinskogo 231/B                ,350005   ,https://yandex.ru/maps/org/bmw_atlas/89022389897/
ATLAS                              ,Sochi                              ,Transportnaya 46                   ,354002   ,https://yandex.ru/maps/org/bmw_atlas_sochi/195684998457/
Avtomobili Bavarii                 ,Voronezh                           ,3 km Voronezh Moscow               ,394000   ,https://yandex.ru/maps/org/avtomobili_bavarii/21177391108/
Avtomobili Bavarii                 ,Nizhny Novgorod                    ,Brinskogo 12                       ,603163   ,https://yandex.ru/maps/org/m_servis/1050105232/
Avtomobili Bavarii                 ,Nizhny Novgorod                    ,Brinskogo 12                       ,603163   ,https://yandex.ru/maps/org/bmw_transtekhservis_ofitsialny_diler/220717707240/
Avtomobili Bavarii                 ,Nizhny Novgorod                    ,Brinskogo 12                       ,603163   ,https://yandex.ru/maps/org/bmw_transtekhservis_ofitsialny_diler/134406821745/
