Author,Review,Profession,Date,NumberOfStars
Александр Гришин,"Приятное место. Очень внимательный персонал. В холле небольшая выставка достижений немецкого бренда. Занимательно, особенно старенькие модельки. Всем любителям Баварских моторов можно зайти и если не купить, то посмотреть и прицениться, хотя бы к брелку.",Знаток города 10 уровня,23 февраля,5
naturalgarden f.,"+ за расположение, мне удобно+ за наличие парковки, и в большинстве случаев есть места- за частое отсутствие в шоу-руме популярных моделей- не информативный маршрут тест-драйва- здесь не уютно, не гостеприимноПродавцы БМВ, видимо, испорчены покупательским интересом к марке и делаю одолжение вам, разрешая вам купить это чудо.Если вы не фанат марки, то скорее всего, это салон вас не соблазнит стать таковым!",Знаток города 18 уровня,4 сентября 2019,3
Игорь Т.,"Добрый вечер! Обслуживаю свой автомобиль с 2014 года, нареканий нет, все честно, четко, прозрачно, неплохой сервис за умеренные деньги, очень часто проходят акции, можно сказать почти за даром, обязательно интересуйтесь перед поездкой в сервис.",Знаток города 2 уровня,5 декабря 2019,5
Дмитрий Т.,"Обычно обслуживаюсь в Авто-Авангарде, там я всем удовлетворен. Поехал на калибровку радара активного круиза в Автодом, только здесь был необходимый стенд. Конечно же пошел в ремзону. Сотрудники не соблюдают методтку проведения измерений, стенд не зафиксирован на полу, измерительная база гуляет. Заставил переделывать, закрепив рейку скотчем к полу, выполняя роль контролера методики и наставника. Если бы не был в ремзоне, то сделали бы некачественно. Порадовала только низкая цена на работы, но я бы и больше заплатил за исключение своего участия из процесса. В кафе очереди из сотрудников за кофе, парочке посетителей приходится подождать.",Знаток города 5 уровня,20 февраля,3
Александр,"Один из любимых салонов в двух городах (Москва/Спб). Всегда вежливый и без «закидонов» персонал. По работам все прозрачно, ценообразование адекватное. Единственное, маленький демонстрационный зал, но я и не за этим приезжаю :)",Знаток города 9 уровня,14 марта,5
Михаил К.,"Отличный салон! Представлены все модели, даже самые топовые. Удобно что можно сравнить модели рядом (X5, X6, X7). Менеджеры внимательные и расскажут про все опции по машинам. Также здесь есть экземпляры старинных авто.",Знаток города 13 уровня,15 марта,5
Железный Дровосек,"Автосалон оставляет приятное впечатление, достаточно автомобилей в наличии, отдельное строение с представленными мотоциклами, коих тоже много для выбора. В целом атмосфера приятная и благожелательная. Понравилось!",Знаток города 12 уровня,14 февраля,5
Мaxim K.,"Все удобно, чисто, акции интересные есть, но в тонких нюансах бмв не разбираются. Вежливость, этикет и т. д на первом месте, а мне хочется видеть авторитетных специалистов в области бмв, а таких нет. Правда знал одного спеца хорошего там, но его уволили.",Знаток города 11 уровня,5 февраля,2
Сергей К.,"Записался на ТО на 28.09.2019 в 14:45 на Зорге. Специально заранее по телефону озвучил, что хочу присутствовать при проведении работ в сервисной зоне и чтобы работы, соответственно, начали сразу после сдачи авто.При сдаче авто менеджер Яков озвучил, что неизвестно, когда начнут работы, механик занят другим клиентом. В итоге по телефону обещают то, что не могут выполнить. Также при записи по телефону подтвердили возможность получения скидки на обслуживание, т.к. впервые обращаюсь в этот салон. При оформлении менеджер отказал в этой скидке, т.к. я когда то покупал автомобиль в другом салоне Автодома в Питере.Жаль потерянного времени.Дополняю отзыв. После того, как оставил обратную связь на сайте Автодома, перезвонил представитель, пообещали все исправить. Записали повторно на ТО. Сегодня, 05.10.2019, был. Все сделали отлично. Скидку за первое посещение дали, автомобиль приняли сразу, присутствовал сам в зоне проведения ТО. Спасибо!",Знаток города 8 уровня,5 октября 2019,5
Максим Майтус,"Являюсь клиентом Motorrad сервис.Приятное дружеское отношение. Ответственные мастера. В отличие от многих других сервисов помогают, а не разводят. В сложных ситуациях подскажут, как лучше поступить. Цены на некоторые работы и запчасти дешевле всяких «клубных».",Знаток города 6 уровня,17 февраля,5
